,states,Freq
1,Alabama,39
2,Alaska,6
3,Arizona,8
4,Arkansas,35
5,California,97
6,Colorado,58
7,Connecticut,36
8,Delaware,19
9,Florida,160
10,Georgia,113
11,Hawaii,1
12,Idaho,7
13,Illinois,136
14,Indiana,59
15,Iowa,36
16,Kansas,308
17,Kentucky,53
18,Louisiana,19
19,Maine,17
20,Maryland,75
21,Massachusetts,103
22,Michigan,59
23,Minnesota,61
24,Mississippi,18
25,Missouri,105
26,Montana,1
27,Nebraska,18
28,Nevada,12
29,New Hampshire,8
30,New Jersey,82
31,New Mexico,15
32,New York,275
33,North Carolina,90
34,North Dakota,1
35,Ohio,172
36,Oklahoma,59
37,Oregon,20
38,Pennsylvania,146
39,Rhode Island,15
40,South Carolina,45
41,South Dakota,8
42,Tennessee,87
43,Texas,119
44,Utah,27
45,Vermont,4
46,Virginia,68
47,Washington,23
48,West Virginia,15
49,Wisconsin,45
50,Wyoming,7
