"","states","Freq"
"1","Alabama",21
"2","Alaska",4
"3","Arkansas",25
"4","California",38
"5","Colorado",35
"6","Connecticut",23
"7","Delaware",12
"8","Florida",90
"9","Georgia",72
"10","Idaho",5
"11","Illinois",78
"12","Indiana",35
"13","Iowa",20
"14","Kansas",196
"15","Kentucky",32
"16","Louisiana",13
"17","Maine",14
"18","Maryland",41
"19","Massachusetts",54
"20","Michigan",41
"21","Minnesota",34
"22","Mississippi",10
"23","Missouri",55
"24","Nebraska",11
"25","Nevada",7
"26","New Hampshire",5
"27","New Jersey",59
"28","New Mexico",10
"29","New York",171
"30","North Carolina",61
"31","Ohio",100
"32","Oklahoma",37
"33","Oregon",9
"34","Pennsylvania",88
"35","Rhode Island",10
"36","South Carolina",28
"37","South Dakota",5
"38","Tennessee",60
"39","Texas",59
"40","Utah",17
"41","Vermont",3
"42","Virginia",38
"43","Washington",10
"44","West Virginia",11
"45","Wisconsin",24
"46","Wyoming",6
