"","X","name","location","lon","lat"
"1",1,"jonathanwtea","Shark River Hills, NJ",-74.0487493,40.1940022
"2",2,"Aim911","Greenwood, IN",-86.1066526,39.6136578
"3",3,"ATLHawks_Talk","Atlanta, GA",-84.3879824,33.7489954
"4",4,"rhotwire","Montrose, CO",-107.8761738,38.4783198
"5",5,"brianlong","Boulder, CO",-105.2705456,40.0149856
"6",6,"agargmd","Chicago, IL",-87.6297982,41.8781136
"7",7,"Ivisi","Orlando, FL",-81.3792365,28.5383355
"8",8,"lizzynjay","East Bay",-89.6362,44.962274
"9",9,"newslarts","New York, NY",-74.0059728,40.7127753
"10",10,"HannahHusmann","Columbia, MO",-92.3340724,38.9517053
"11",11,"PurpleKhaos"," Mayo",-95.992371,36.1510981
"12",12,"bytekast","Boulder, CO",-105.2705456,40.0149856
"13",13,"BIOCIENCIA2013","Cuman�",-64.183316,10.431916
"14",14,"orlovnord2","New York, USA",-74.0059728,40.7127753
"15",15,"IamHRodriques","Atlanta GA ",-84.3879824,33.7489954
"16",16,"FarmFairyCrafts","Oregon, USA",-120.5542012,43.8041334
"17",17,"megdoyle","Trent Woods, NC",-77.0863383,35.0821039
"18",18,"stahnma","Madison, WI",-89.4012302,43.0730517
"19",19,"EHUNTER55","THE BURGH",-79.994661,40.444812
"20",20,"Bravewriting","America",-95.712891,37.09024
"21",21,"TrevorWhitehead","California, USA",-119.4179324,36.778261
"22",22,"editingemily","Denver, CO",-104.990251,39.7392358
"23",23,"IBspiders","Concord, NC, USA",-80.579511,35.4087517
"24",24,"The_Beltsander","ireland",-7.6920536,53.1423672
"25",25,"healthknots","Charlotte NC",-80.8431267,35.2270869
"26",26,"beachbum04064","Maine, USA",-69.4454689,45.253783
"27",27,"MillerMathTeach","Texas, USA",-99.9018131,31.9685988
"28",28,"penguins630","Naperville, IL",-88.1535352,41.7508391
"29",29,"lexiepena1","New Bedford, MA",-70.934205,41.6362152
"30",30,"mikhailsam7tp","United States",-95.712891,37.09024
"31",31,"NenadMikovic773","Chicago, IL",-87.6297982,41.8781136
"32",32,"senchristian4","Naperville, IL",-88.1535352,41.7508391
"33",33,"Chinchillazllla","Kentucky",-84.2700179,37.8393332
"34",34,"rileyyhangerr","Ohio, USA",-82.907123,40.4172871
"35",35,"MaryBeyea","Ontario, Canada",-85.323214,51.253775
"36",36,"kkmassiatte","Obetz, OH",-82.9507363,39.8789527
"37",37,"kelsiehudgens","texas",-99.9018131,31.9685988
"38",38,"vesaldi","Chicago IL",-87.6297982,41.8781136
"39",39,"AleshiaNicole","Philadelphia , PA",-75.1652215,39.9525839
"40",40,"Can_Skeptic_Wm","Windsor, Ontario Canada",-83.0363633,42.3149367
"41",41,"amomlessmom","Canada",-106.346771,56.130366
"42",42,"coffeepleaseRN","Earth",-95.7243335,37.2321077
"43",43,"ambettano","Boston, MA",-71.0588801,42.3600825
"44",44,"KarlChristian","Denver, CO",-104.990251,39.7392358
"45",45,"Patty_Fingers","Orem, UT",-111.6946475,40.2968979
"46",46,"jshepp121","Knoxville, TN",-83.9207392,35.9606384
"47",47,"wtaptelevision","Parkersburg, WV",-81.5615135,39.2667418
"48",48,"msmingelsmusic","Cumberland, RI",-71.4061876,41.9721816
"49",49,"AruniKashyap","Athens, GA",-83.357567,33.9519347
"50",50,"Julietree5","Anderson, SC",-82.6501332,34.5034394
"51",51,"ridandelous","Boone, NC",-81.6745517,36.216795
"52",52,"MalaikaAdero","New York City, Atlanta",-84.3640888,33.851772
"53",53,"delshaffer","Charleston, SC",-79.9310512,32.7764749
"54",54,"tylmel","Starkville, MS",-88.8183872,33.4503998
"55",55,"thaofficialtati","New York, NY",-74.0059728,40.7127753
"56",56,"laibaixx","Oklahoma City, OK",-97.5164276,35.4675602
"57",57,"termalmusic","United States",-95.712891,37.09024
"58",58,"shibabeenu","Fall River, MA",-71.1550451,41.7014912
"59",59,"AntigoDJ","Antigo, WI",-89.1523353,45.140245
"60",60,"ViraBurnayeva","NoVA, USA",-122.788377,45.4604
"61",61,"juliekiel","Owatonna, Minnesota",-93.2259349,44.0855572
"63",63,"morgangrace23","Tulsa, OK",-95.992775,36.1539816
"64",64,"StuCowan1","Montreal",-73.567256,45.5016889
"65",65,"sw1ssmystery","Charlottesville, VA",-78.4766781,38.0293059
"66",66,"cyborgQT","Louisiana ",-91.9623327,30.9842977
"67",67,"SaigeLovell","Boston, MA",-71.0588801,42.3600825
"68",68,"MaerynObley","Philadelphia",-75.1652215,39.9525839
"69",69,"DRTSN690","Montreal",-73.567256,45.5016889
"70",70,"Ade_Shazza","Washington DC",-77.0368707,38.9071923
"71",71,"alwayssawyer","Australia",133.775136,-25.274398
"72",72,"DevanRoeOG","Dayton, OH",-84.1916069,39.7589478
"73",73,"rigotordoc","Caracas, Venezuela",-66.9036063,10.4805937
"74",74,"MangoQuueen","United States",-95.712891,37.09024
"75",75,"adam_dill","Elgin, IL",-88.2825668,42.0354084
"76",76,"95bravo1994","California, USA",-119.4179324,36.778261
"77",77,"TakeThatCDC","Atlanta, GA",-84.3879824,33.7489954
"78",78,"Hannahf73943122","Miami ",-80.1917902,25.7616798
"79",79,"DskoHicks","Georgia, USA",-82.9000751,32.1656221
"80",80,"MoNiq_DoMiniq","Newport News, VA",-76.4730122,37.0870821
"81",81,"HannnahhSheeetz","Maryland, USA",-76.6412712,39.0457549
"82",82,"emociional82","Ohio, USA",-82.907123,40.4172871
"83",83,"Brranday","California",-119.4179324,36.778261
"84",84,"ThriveFit","Springfield, MO",-93.2922989,37.2089572
"85",85,"xoxokshirelle","North Carolina, USA",-79.0192997,35.7595731
"87",87,"MsSparrow23","Denver, CO ",-104.990251,39.7392358
"88",88,"Flu_Wizzle","Lakeland , FL",-81.9498042,28.0394654
"89",89,"bruber_j","NC",-79.0192997,35.7595731
"90",90,"johnpopevil","Georgia, USA",-82.9000751,32.1656221
"91",91,"br_myers","Halifax, Canada",-63.5752387,44.6487635
"92",92,"TheRayvanman","Idaho, USA",-114.7420408,44.0682019
"93",93,"Winningwillie","Connecticut",-73.087749,41.6032207
"94",94,"Mateojankovich","United States",-95.712891,37.09024
"95",95,"Local__Luke","Earth",-95.7243335,37.2321077
"96",96,"WxOneNews","Charlotte, NC",-80.8431267,35.2270869
"97",97,"Koboxer2380","Maine, USA",-69.4454689,45.253783
"98",98,"khuangedu","New Jersey",-74.4056612,40.0583238
"99",99,"DocOlmstead","Apopka",-81.5322149,28.6934076
"100",100,"RetiremntWisdom","Princeton",-74.6514481,40.3439888
"101",101,"mahummm_","m
",-95.712891,37.09024
"102",102,"gunplagyaru","United States",-95.712891,37.09024
"103",103,"roport","New York ",-74.0059728,40.7127753
"104",104,"JackieeOH_","Georgia ",-82.9000751,32.1656221
"105",105,"SethRudetsky","New York City",-74.0059728,40.7127753
"106",106,"carrissa_j","Barbados",-59.543198,13.193887
"107",107,"danegolf1960","St. Catharines, Ontario",-79.2468626,43.1593745
"108",108,"AngieStar78","Ledyard, CT",-72.0181743,41.4456444
"109",109,"AsiaChloeBrown","Washington, DC",-77.0368707,38.9071923
"110",110,"Blau_Rascon","Pennsylvania, USA",-77.1945247,41.2033216
"111",111,"HippyGranny2","United States",-95.712891,37.09024
"112",112,"egcharismolling","Boston, MA",-71.0588801,42.3600825
"113",113,"bposhea","Atlanta, Ga",-84.3879824,33.7489954
"114",114,"ElementCare","Massachusetts, USA",-71.3824374,42.4072107
"115",115,"myDocUrgentCare","Philadelphia, PA",-75.1652215,39.9525839
"116",116,"ShitBrick34","in the pit",-93.262284,44.934949
"117",117,"hokieprorichie","Blacksburg, VA ",-80.4139393,37.2295733
"118",118,"X_A_Y","Akron, OH",-81.5190053,41.0814447
"119",119,"LotLotLotAmber","Kentucky",-84.2700179,37.8393332
"120",120,"Nick28T","Canada",-106.346771,56.130366
"121",121,"CristyDwyer","New York, NY",-74.0059728,40.7127753
"122",122,"hollynicole_16","United States",-95.712891,37.09024
"123",123,"sweetsteph09","California",-119.4179324,36.778261
"124",124,"sarcasimandsass","Texas, USA",-99.9018131,31.9685988
"125",125,"YuYuisblack","Ontario, Canada",-85.323214,51.253775
"126",126,"momztweet","North Carolina",-79.0192997,35.7595731
"127",127,"probopassed","Maryland, USA",-76.6412712,39.0457549
"128",128,"stevekemple_inc","Cincinnati, OH",-84.5120196,39.1031182
"129",129,"Lurpee","ATL",-84.4277001,33.6407282
"130",130,"sadbullsfan","Chicago, IL",-87.6297982,41.8781136
"131",131,"mandy_hawks","Atlanta Ga",-84.3879824,33.7489954
"132",132,"kylieann6797","Conway, AR",-92.4421011,35.0886963
"133",133,"stoicfroggaming","Canada",-106.346771,56.130366
"134",134,"TapanuiFlu","New Zealand",174.885971,-40.900557
"135",135,"kayy_Garcia","Arlington, VA ",-77.0909809,38.8816208
"136",136,"Lyrikris10","Brooklyn, NY",-73.9441579,40.6781784
"137",137,"V_V_G","Minneapolis, MN",-93.2650108,44.977753
"138",138,"Ev0cativeArt","strawberry fields ",-73.9752147,40.7757506
"139",139,"itsjusmeKarleen","New Jersey, USA",-74.4056612,40.0583238
"141",141,"slime_Flu_","Washington Heights, New York",-73.9393554,40.8417082
"142",142,"lexismore_xo","North Carolina, USA",-79.0192997,35.7595731
"144",144,"40Cal1704","NE DC",-76.9758274,38.9097608
"145",145,"UnitedStatesOfQ","Norwalk, CT",-73.4081575,41.117744
"146",146,"onIyshaIIow","indianapolis",-86.158068,39.768403
"147",147,"FayCortez","Minneapolis",-93.2650108,44.977753
"148",148,"suntimes_hoops","Chicago",-87.6297982,41.8781136
"149",149,"irishthedog","Florida",-81.5157535,27.6648274
"150",150,"AlexK245","Minnesota",-94.6858998,46.729553
"151",151,"claireinspace","New York, NY",-74.0059728,40.7127753
"152",152,"KristinReins","TEXAS",-99.9018131,31.9685988
"153",153,"HLfromHell","Arkansas, USA",-91.8318334,35.20105
"154",154,"Stunner67"," Ohio",-82.907123,40.4172871
"155",155,"walidmrealtor","Charlotte, NC",-80.8431267,35.2270869
"156",156,"jwade777","miami,fl",-80.1917902,25.7616798
"157",157,"BullScripted","Chicago, IL",-87.6297982,41.8781136
"158",158,"ActionNewsJax","Jacksonville, Florida",-81.655651,30.3321838
"159",159,"MrsLopez1981","Scott, AR",-92.0962552,34.6964808
"161",161,"gracee_hipster","Texas, USA",-99.9018131,31.9685988
"162",162,"rhiiiii__","Ohio",-82.907123,40.4172871
"163",163,"beccahathaway42","Ankeny, IA",-93.6001278,41.7317884
"164",164,"ACY1","Texas, USA",-99.9018131,31.9685988
"165",165,"alan_whitcomb","Illinois, USA",-89.3985283,40.6331249
"166",166,"WPBF25News","West Palm Beach, FL",-80.0533746,26.7153424
"167",167,"WLKY","Louisville, KY",-85.7584557,38.2526647
"168",168,"GamerDadTV","Canada",-106.346771,56.130366
"169",169,"LawngIsland","Long Island, NY",-73.134961,40.789142
"170",170,"its_ameericle","Charlotte, NC",-80.8431267,35.2270869
"171",171,"YautjaMayne","Georgia, USA",-82.9000751,32.1656221
"172",172,"LNKhealth","Lincoln, NE",-96.7025955,40.813616
"173",173,"daveschroeder","Madison, WI",-89.4012302,43.0730517
"174",174,"jennaANjax","Jacksonville, FL",-81.655651,30.3321838
"175",175,"misapo_1","Minnesota, USA",-94.6858998,46.729553
"176",176,"SamiDan19","Milwaukee, WI",-87.9064736,43.0389025
"177",177,"Stephanie61593","New Jersey",-74.4056612,40.0583238
"178",178,"AdaBrownell","Missouri, USA",-91.8318334,37.9642529
"179",179,"KYWNewsradio","Philadelphia, Pa.  USA",-75.1652215,39.9525839
"180",180,"RachaelButera","Pittsburgh, PA",-79.9958864,40.4406248
"181",181,"wdeadfan_","St Louis, MO",-90.1994042,38.6270025
"182",182,"danielvincent","Louisiana, USA",-91.9623327,30.9842977
"183",183,"UrbanSpaceMan64","Earth ",-95.7243335,37.2321077
"185",185,"DouglasCatlin","Georgia, USA",-82.9000751,32.1656221
"186",186,"hilarydufflpuff","Louisville, KY",-85.7584557,38.2526647
"187",187,"devvydarling","Georgia, US. ",-82.9000751,32.1656221
"188",188,"buz_world","Canada",-106.346771,56.130366
"189",189,"bethlinas","Washington, DC",-77.0368707,38.9071923
"190",190,"CIDRAP","Minneapolis, MN",-93.2650108,44.977753
"191",191,"DrJohnTorres","NYC",-74.0059728,40.7127753
"192",192,"abigailduran_12","New Mexico, USA",-105.8700901,34.5199402
"193",193,"aleshasmith229","New York City",-74.0059728,40.7127753
"194",194,"idfc1260","Nashville, TN",-86.7816016,36.1626638
"195",195,"BambieShep","Wisconsin, USA",-88.7878678,43.7844397
"196",196,"KaraPaints","Tinley Park, IL",-87.7932939,41.5731442
"197",197,"lancekbooth","New York, NY",-74.0059728,40.7127753
"198",198,"Sonny_Zay32","Cloud City",-122.6159691,45.4795487
"199",199,"WOWT6News","Omaha, Nebraska",-95.9345034,41.2565369
"200",200,"FelixTorchHold","Georgia, USA",-82.9000751,32.1656221
"201",201,"HeathBarMiller","Liberty, Mo",-94.4191177,39.2461138
"202",202,"SageSecret","louisiana",-91.9623327,30.9842977
"203",203,"SRS7BTS","Texas, USA",-99.9018131,31.9685988
"204",204,"famfightflu","Arlington, VA",-77.0909809,38.8816208
"205",205,"nealcobb67","United States",-95.712891,37.09024
"206",206,"MountSinaiNYC","New York, NY",-74.0059728,40.7127753
"208",208,"HotpageNews","Boston",-71.0588801,42.3600825
"209",209,"Hotpage_News","United States",-95.712891,37.09024
"210",210,"kait_lin85","London, Ontario",-81.2452768,42.9849233
"212",212,"JOCOHealth","Olathe, KS",-94.8191285,38.8813958
"213",213,"Ginger_Snap_11","Texas, USA",-99.9018131,31.9685988
"214",214,"kirkyeehee","Canada",-106.346771,56.130366
"215",215,"Frick35","Lexington, SC",-81.2362107,33.9815369
"216",216,"CDCFlu","Atlanta, GA",-84.3879824,33.7489954
"217",217,"rejaifar","Switzerland",8.227512,46.818188
"218",218,"MyCharterLIFE","California, USA",-119.4179324,36.778261
"219",219,"UPMC_Pinnacle","Harrisburg, PA",-76.8867008,40.2731911
"220",220,"alemxorrow","Arkansas, USA",-91.8318334,35.20105
"221",221,"djh881","Rochester, NY",-77.6088465,43.1565779
"222",222,"gypsyof7","Philadelphia",-75.1652215,39.9525839
"223",223,"UTKDailyBeacon","Knoxville, Tennessee",-83.9207392,35.9606384
"224",224,"Lo_Zanzi","Boston, MA",-71.0588801,42.3600825
"225",225,"technosucks","Canton, OH",-81.378447,40.7989473
"226",226,"healthfoodat","United States",-95.712891,37.09024
"227",227,"sunni2967","Charlotte, NC",-80.8431267,35.2270869
"228",228,"mirogeorgiev97","Stone Mountain, GA",-84.170196,33.8081608
"229",229,"stellahubbard18","Manhattan, NY",-73.9712488,40.7830603
"230",230,"YogaBear","USA",-95.712891,37.09024
"231",231,"kylee_grant","Oklahoma City, OK",-97.5164276,35.4675602
"232",232,"_Wendy_L_","London ON - CANADA",-81.2452768,42.9849233
"233",233,"DrMarcoMtz","Quintana Roo, M�xico",-88.4791376,19.1817393
"234",234,"RoaStudios","Columbus, OH",-82.9987942,39.9611755
"235",235,"ladyjacquelyne","Jamaica, West Indies",-77.297508,18.109581
"236",236,"Totallysamsays","NEW YORK CITY",-74.0059728,40.7127753
"237",237,"PhyllisBaker89","New York, USA",-74.0059728,40.7127753
"238",238,"GalenMarek79","Somewhere in Kentucky",-85.9404185,37.8427946
"239",239,"healthystartgo","United States",-95.712891,37.09024
"240",240,"stragapo","New Jersey, USA",-74.4056612,40.0583238
"241",241,"avi_weisfogel","Old Bridge, NJ",-74.307282,40.4128551
"242",242,"healthnewsmore","United States",-95.712891,37.09024
"243",243,"LysistrataGOP","Texas, USA",-99.9018131,31.9685988
"244",244,"quadcapable","DeLand, FL",-81.3031179,29.028318
"245",245,"_AmberSkyes_","Philadelphia, PA",-75.1652215,39.9525839
