"","name","location"
"1","megdoyle","Trent Woods, NC"
"2","ViraBurnayeva","NoVA, USA"
"3","ElementCare","Massachusetts, USA"
"4","myDocUrgentCare","Philadelphia, PA"
"5","itsjusmeKarleen","New Jersey, USA"
"6","Stunner67"," Ohio"
"7","CIDRAP","Minneapolis, MN"
"8","DrJohnTorres","NYC"
"9","famfightflu","Arlington, VA"
"10","MountSinaiNYC","New York, NY"
"11","CDCFlu","Atlanta, GA"
"12","Lo_Zanzi","Boston, MA"
"13","_AndrewSchmidt","Atlanta, GA"
"14","CPHO_Canada","Canada"
"15","kartwonz","Jackson, MI"
"16","OscilloUSA","Newtown Square, Pa."
"17","namibycandy","Philadelphia, PA"
"18","HollidaysStache","Purgatory"
"19","eggersdailynews","Bowling Green, KY"
"20","jimmysfla","Palm Beach County, FL"
"21","tkradio","America"
"22","CubeShield","USA"
"23","kuriousmind93","United States"
"24","PIDSociety","Arlington, VA"
"25","BoironUSA","Newtown Square, Pa."
"26","tedsensei","New Canaan, CT"
"27","TelemedLeaders","Washington, DC"
"28","HelenBranswell","Boston, MA"
"29","WeatherBug","New York, NY"
"30","HHSRegion7","Kansas City, Missouri"
"31","Renovation_Tea","De Queen, AR"
"32","RawlsMD","Wilmington, NC"
"33","sickweather","United States"
"34","kariusdx","California, USA"
"35","mybedissocozy","texas"
"36","Vaxyourfam","United States"
"37","WV_DHHR","Charleston, WV"
"38","DrCorriel","Pearl River, NY"
"39","MedicalLetter","New Rochelle, NY"
"40","HalBrock","Oklahoma City, OK"
"41","UHhospitals","Cleveland, Ohio"
"42","BeeLineSupport1","Chicago, IL"
"43","bbnhins","Merrimack, NH"
"44","CDC_NCBDDD","Atlanta, GA"
"45","MOH_TT","Trinidad and Tobago"
"46","YettereYT","New York, USA"
"47","gerardgallagher","MEDIA, Pa."
"48","medpagetoday","New York, NY"
"49","Aging_Research","Washington, DC"
"50","DrBerryPierre","winner's circle"
"51","pophealthNYC","New York, NY"
"52","SITNBoston","Boston, MA"
"53","eAdhere1","Cleveland, OH"
"54","joe_rilla","North Carolina"
"55","ImmunizeFlorida","Florida, USA"
"56","MedPedsAllergy","West Bloomfield Township, MI"
"57","disinfx","Texas, USA"
"58","RovePestControl","Minnesota"
"59","NHSaaa","Ayrshire"
"60","phelpshospital","Sleepy Hollow, New York"
"61","Tbone295","Central Illinois, USA"
"62","Cougardruid","Oregon"
"63","emvtbl","Nanticoke, PA"
"64","HEAVENERYB","Heavener"
"65","momknowsbest15","Albuquerque, NM USA"
"66","CityDrugInc","Paragould, AR"
"67","Kam_i_Lah","Barbados"
"68","13thgenusa","Brooklyn, NY"
"69","bema01","Braintree, Ma"
"70","ophiryotam","Philadelphia, PA"
"71","URAC","Washington, DC"
"72","tarunjainmd","Chicago IL"
"73","gyjcman","New York, NY"
"74","dmullinsdms","Norwich, VT"
"75","jsonjonson","Fishers, IN"
"76","NAPNAP","New York"
"77","GreeneCoPH","Xenia, OH"
"78","ZW5424","Pennsylvania, USA"
"79","Zoono_USA","United States"
"80","WUSTLmed","St. Louis, MO"
"81","artofperson","South Florida"
"82","BrenWalsh84","New York, NY"
"83","amstambaugh108","The Mitten"
"84","StayYoungMedia","Texas, USA"
"85","theAntonioSC","New York, USA"
"86","yodelhealth","Frisco, CO"
"87","janitor_mag","Milwaukee, WI"
"88","IDinChildren","Thorofare, NJ"
"89","o2real365","Spartanburg, SC"
"90","pepperman54","Bloomington, Illinois"
"91","BetcoCorp","Toledo, Ohio"
"92","ppenttin","Scandinavia"
"93","RobBecker_","Wisconsin"
"94","WTNH","New Haven, CT, USA"
"95","MassDPH","Boston, MA"
"96","andy_smth","Rochester, MN"
"97","NCPublicHealth","Raleigh, NC"
"98","ssmhealthwi","Wisconsin, USA"
"99","ascelbio","New York"
"100","WhatMattHerrs","Raleigh, NC"
"101","AFCUCMemphis","Memphis, Tennessee"
"102","EverThriveIL","Chicago, IL"
"103","mccrenshaw","Atlanta, Georgia "
"104","CDCgov","Atlanta, GA"
"105","FluNearYou","Boston, Massachusetts"
"106","DrugwatchTerry","Orlando, FL"
"107","PAHealthDept","Harrisburg, PA"
"108","Mommie_Hass","Minnesota, USA"
"109","JHHCSolutions","Baltimore, Maryland"
"110","DoctorsReportTM","United States"
"111","PlantationHosp","Plantation, FL"
"112","EatLiveRoc","Rochester, NY"
"113","MDMagazine","United States"
"114","RunnymedeHC","Toronto, ON"
"115","SeatonJefferson","Missouri, USA"
"116","Flareware","Washington DC"
"117","MCResearchInst","Marshfield, WI"
"118","apexreps","Lemont, IL "
"119","DrNancyM_CDC","Atlanta, GA"
