"","name","location"
"1","improvised__","Richmond, VA"
"2","WxOneNews","Charlotte, NC"
"3","FayCortez","Minneapolis"
"4","HotpageNews","Boston"
"5","Hotpage_News","United States"
"6","AdeUSAGreenLib","United States"
"7","thelonevirologi","USA"
"8","danwolfe_me","USA / Canada"
"9","HelenBranswell","Boston, MA"
"10","GertvanderHoek","Netherlands"
"11","STS_CTsurgery","Chicago, IL USA"
"12","LocumsInc","Georgia, USA"
"13","katebrushh","Erieau"
"14","EINH1N1News","Washington, D.C."
"15","tonyanytime247","Miami"
"16","ShohamTxID","Baltimore, MD"
"17","curse_collector","Toronto, Ontario"
"18","CSISpecialty","Sanford, FL"
"19","FluNearYou","Boston, Massachusetts"
"20","mggrammy","southern Illinois"
"21","UnkelFred","Nova Scotia, Canada."
"22","xx__maryalex","Toronto"
"23","AlmightyKwon","Panama City, FL"
"24","famfightflu","Arlington, VA"
"25","PoncaWarrior","Winfield, KS"
"26","MzSailiante","Mobile, AL"
"27","CardiffGiants","New York, NY"
"28","LeavittAlone","NYC"
"29","LauraWi32702281","Washington, USA"
