"","name","location"
"1","CIDRAP","Minneapolis, MN"
"2","Lo_Zanzi","Boston, MA"
"3","_AndrewSchmidt","Atlanta, GA"
"4","abtassociates","Cambridge, Massachusetts"
"5","PIDSociety","Arlington, VA"
"6","thelonevirologi","USA"
"7","Geospatial_DA","Sparks, MD"
"8","kariusdx","California, USA"
"9","UCNetworkOmaha","Omaha, NE"
"10","SDDOH","Pierre, SD"
"11","TheInfluenzers","Washington, DC"
"12","GertvanderHoek","Netherlands"
"13","SITNBoston","Boston, MA"
"14","qeastman","Decatur, GA"
"15","medpagetoday","New York, NY"
"16","MedPedsAllergy","West Bloomfield Township, MI"
"17","MDMagazine","United States"
"18","ParticleDoc","Indianapolis, IN"
"19","outbreaksci","United States"
"20","phelpshospital","Sleepy Hollow, New York"
"21","saadhealth","New York, NY"
"22","artofperson","South Florida"
"23","yodelhealth","Frisco, CO"
"24","CDCgov","Atlanta, GA"
"25","eMPR","New York"
"26","NoraCutcliffe","Toronto, Ontario"
"27","GlobalPHObserv","Baltimore MD USA"
"28","mccrenshaw","Atlanta, Georgia "
"29","Mommie_Hass","Minnesota, USA"
"30","aafp","Leawood, KS"
"31","DoctorsReportTM","United States"
"32","apexreps","Lemont, IL "
"33","MedGizmo","New York, NY"
"34","Chris__Merritt","Providence, RI"
"35","NMPulmCritCare","Chicago, IL"
"36","IDinChildren","Thorofare, NJ"
"37","drctruss","Atlanta, GA"
"38","DrEmilyT","St Louis, MO"
"39","ldpsci","Maryland"
"40","JOCOHealth","Olathe, KS"
"41","epaultaylor","Toronto"
"42","jackiedavissays","Atlanta, GA"
"43","libertylives277","California, USA"
"44","DrBGellin","Washington, DC"
"45","lj_tan","Chicago, IL"
"46","SanofiUS","Bridgewater, NJ"
"47","OSUEMEdu","Columbus, OH"
"48","apemke","Florida, USA"
"49","sabinvaccine","Washington, DC"
"50","SeemaJJIC","New York, New Jersey"
"51","beasonsaver","Grand Blanc, MI"
"52","PEMTweets","Cincinnati, OH"
"53","EBmedicine","Norcross, GA"
"54","bcbssc","South Carolina, USA"
"55","HVWilliamsburg","Lincoln, NE"
"56","Tiger_Medical","Irvington, NJ"
"57","DrMilks","Bloomington, Indiana"
"58","jenstec13","Washington, MI"
"59","drkdhoffman","US"
"60","SerafinaRising","New Jersey, USA"
"61","viracoreurofins","Lee's Summit, MO"
"62","cjUCocean","731 Highway 35 Ocean, NJ 07712"
"63","MlleDeFloride","Calhoun, GA"
"64","OhChelseaXO","St Clair Shores, MI"
"65","CenturyLLC","Greensboro, NC"
"66","OrganicLiveFood","US"
"67","TheRealNikkiC","Michigan, USA"
"68","Soldout100","Whitehall, MI"
"69","ezbirth","Rochester, MI"
"70","_savannah2521","Denver"
"71","AFHSBPAGE","Falls Church, VA"
"72","LCCoolePhotos","Oakland County, Mi"
"73","MJBurkMD","Indianapolis, IN"
"74","medsengage","Canada"
"75","floralpalette","Auburn Hills, MI"
"76","PharmaOutlook","United States"
"77","SSMHealthSaints","Oklahoma City, OK"
"78","MsBJPeart","Charleston South Carolina USA"
