"","name","location"
"1","Aim911","Greenwood, IN"
"2","rita21411","Texas, USA"
"3","DrugStoreNews","New York, NY"
"4","VindicoMedEd","Thorofare, NJ"
"5","BKilby","Mooresville, NC"
"6","mister_blank","Near Worcester, MA"
"7","FayCortez","Minneapolis"
"8","beccahathaway42","Ankeny, IA"
"9","BigSnugALot","Providence, RI"
"10","LDCHEALTH","Lawrence, Kansas"
"11","CIDRAP","Minneapolis, MN"
"12","EINH1N1News","Washington, D.C."
"13","JOCOHealth","Olathe, KS"
"14","ASMicrobiology","Washington, DC"
"15","Lo_Zanzi","Boston, MA"
"16","murksmusings","Illinois"
"17","_AndrewSchmidt","Atlanta, GA"
"18","caitlyn_weir","Mount Ayr, ia"
"19","LouisLeoIV","United States"
"20","TargetMrkting","Hershey, PA"
"21","kuriousmind93","United States"
"22","CPHO_Canada","Canada"
"23","570NEWS","Kitchener, Ontario"
"24","abtassociates","Cambridge, Massachusetts"
"25","paj8588","Missouri, USA"
"26","GertvanderHoek","Netherlands"
"27","BIOCIENCIA2013","Cumaná"
"28","SiouxlandHealth","Sioux City, IA"
"29","Debbie29490650","Texas <U+0001F1E8><U+0001F1F1>, USA <U+0001F1FA><U+0001F1F8>"
"30","NChardonnet","Saint Louis"
"31","mydocgarfieldnj","Garfield, NJ"
"32","kayeyewhy","New York, USA"
"33","darcy6179","Mount Vernon, OH"
"34","PIDSociety","Arlington, VA"
"35","thelonevirologi","USA"
"36","SciencePharmer","Petawawa, Ontario"
"37","MDedgePediatric","Rockville, MD"
"38","Geospatial_DA","Sparks, MD"
"39","jsgjames",""
"40","nutritiontastic","New York, NY"
"41","realiwasframed","U.S.A."
"42","ghw55","Newark, Delaware"
"43","BuddyB04863931","Midwest, USA"
"44","kariusdx","California, USA"
"45","hashtag_big","United States"
"46","nativeminnow","The Shallows"
"47","Vaxyourfam","United States"
"48","ChrisLoesch","Texas"
"49","miguel_reyesMD","Manhattan, NY"
"50","onwnews","Oshkosh, Wisconsin"
"51","medicalaxioms","United States"
"52","UCNetworkOmaha","Omaha, NE"
"53","PoetryAlive","Asheville, NC"
"54","lakeeriecollege","Painesville, Ohio"
"55","Wasssaname","Brooklyn, NY"
"56","UHhospitals","Cleveland, Ohio"
"57","TakeThatCDC","Atlanta, GA"
"58","deborah91473","St Louis"
"59","DVGoldCoast","Norwalk, CT"
"60","DVBridgeport","Bridgeport, CT"
"61","DVFairfield_N","Wilton, CT"
"62","SDDOH","Pierre, SD"
"63","johncachero","Hampton Roads, Virginia"
"64","MadisonVirology","Wisconsin, USA"
"65","BlueHenNat","California, Delaware"
"66","QueensPHPM","Kingston, Ontario"
"67","JacesJarsofHope","Wisconsin, USA"
"68","Ashley03278285","Nebraska, USA "
"69","BlueHenPhoebe","Newark, DE"
"70","IndieCongress","United States"
"71","BagalueSunab","Trinidad and Tobago"
"72","TurnerNovak","Grand Rapids, MI"
"73","MyBestestThing","Earth"
"74","ThugPugMom","Bowling Green, KY"
"75","TheInfluenzers","Washington, DC"
"76","DMHospitalGroup","Ireland"
"77","PKO823","Canada"
"78","ipacuhn","Toronto, Ontario"
"79","ZArtofWellness","California"
"80","EarlyReport","Chicago"
"81","nymedcollege","Valhalla, NY"
"82","PRI_Insurance","Roslyn, NY"
"83","SITNBoston","Boston, MA"
"84","qeastman","Decatur, GA"
"85","OneHealthUF","Gainesville, FL"
"86","ImpactUN","New York"
"87","medpagetoday","New York, NY"
"88","WildlifeDisease","Lawrence, Kansas"
"89","MedPedsAllergy","West Bloomfield Township, MI"
"90","vaccinemakers","Philadelphia, PA"
"91","AlaskanCourtney","Alaska"
"92","PrinceGYfan","Texas, USA "
"93","KWhistler","Lafayette, IN"
"94","MDMagazine","United States"
"95","ParticleDoc","Indianapolis, IN"
"96","MrJayCameron","3rd Rock from the Sun "
"97","outbreaksci","United States"
"98","HambySr","Provo, UT"
"99","phelpshospital","Sleepy Hollow, New York"
"100","Popgen_Papers","University of Wyoming"
"101","rngarthee","Waukesha, WI"
"102","mbiojournal","Washington, DC"
"103","pipandbaby","Connecticut, USA"
"104","saadhealth","New York, NY"
"105","Rydad98","Illinois"
"106","alaskaking17","Alaska, USA"
"107","eriklutz","Clinton, IA"
"108","AccessIntegrity","Albuquerque, N.M."
"109","stevekemple_inc","Cincinnati, OH"
"110","PassRestProd","Waterloo, IA"
"111","kawaas1","Austell, GA"
"112","itskiraj","Manhattan, New York "
"113","QueenTaige","Not there yet "
"114","livingjaded","Lakewood co"
"115","benoco","Australia"
"116","theMagdalenRose","Oregon, USA"
"117","Akboss1988","Canyon, TX"
"118","biorxivpreprint","New York"
"119","arust_3","Elk Run Heights, IA"
"120","CrazyRxMan","United States"
"121","letmegetahug","mississippi, usa"
"122","ScroochMagooch","Valparaiso, IN"
"123","TamorahLewisMD","Kansas City, MO"
"124","5NEWSNielson","Fort Smith, AR"
"125","meri_munn","Utah"
"126","IamJayDay","Jefferson, WI"
"127","ShohamTxID","Baltimore, MD"
